,age,response_side,impaired_vision,experience,gender,session_id,inner_width,trial_no,filename,scene_id,red_count,blue_count,version,response_time,expected_side,browser,screen_w,screen_h,os,exp_start_date,exp_start_time,favorite_team,favorite_color,subject_id,is_correct
33,23,red,no,never,female,1697797568418,1512,33,id10_v1_b6_r7.jpg,10,7,6,1,1132,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
34,23,blue,no,never,female,1697797568418,1512,34,id17_v2_b5_r6.jpg,17,6,5,2,665,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,0.0
35,23,red,no,never,female,1697797568418,1512,35,id5_v1_b6_r7.jpg,5,7,6,1,742,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
36,23,blue,no,never,female,1697797568418,1512,36,id12_v2_b6_r7.jpg,12,7,6,2,634,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,0.0
37,23,blue,no,never,female,1697797568418,1512,37,id16_v1_b6_r7.jpg,16,7,6,1,734,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,0.0
38,23,red,no,never,female,1697797568418,1512,38,id7_v1_b6_r7.jpg,7,7,6,1,678,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
39,23,blue,no,never,female,1697797568418,1512,39,id26_v2_b6_r7.jpg,26,7,6,2,753,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,0.0
40,23,red,no,never,female,1697797568418,1512,40,id8_v1_b6_r5.jpg,8,5,6,1,817,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,0.0
41,23,blue,no,never,female,1697797568418,1512,41,id1_v1_b7_r5.jpg,1,5,7,1,687,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
42,23,blue,no,never,female,1697797568418,1512,42,id24_v1_b7_r6.jpg,24,6,7,1,1912,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
43,23,blue,no,never,female,1697797568418,1512,43,id27_v1_b7_r6.jpg,27,6,7,1,570,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
44,23,red,no,never,female,1697797568418,1512,44,id28_v1_b6_r7.jpg,28,7,6,1,611,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
45,23,red,no,never,female,1697797568418,1512,45,id9_v2_b5_r7.jpg,9,7,5,2,900,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
